Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"A Elghali, M Benzaazoua, H Bouzahzah, B Bussière","Laboratory study on the effectiveness of limestone and cementitious industrial products for acid mine drainage remediation",2021,"Minerals","mdpi.com","https://www.mdpi.com/2075-163X/11/4/413","https://scholar.google.com/scholar?cites=8603604409397238420&as_sdt=2005&sciodt=2007&hl=en",156,"2023-04-24 12:17:05","","","","",,,,,11,5.50,3,4,2,"… Acid mine tailings may affect several environmental matrices. Here, we aimed to stabilize … waters, which can lead to the formation of acid mine drainage (AMD). The overall reaction of …","https://www.mdpi.com/2075-163X/11/4/413/pdf","https://scholar.google.com/scholar?q=related:lFobYqAkZncJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
0,"A Elghali, M Benzaazoua, Y Taha, H Amar…","Prediction of acid mine drainage: Where we are?",2023,"Earth-Science …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0012825223001101","",124,"2023-04-24 12:17:05","","","","",,,,,0,0.00,0,5,1,"… Nowadays, the environmental behavior of mine waste is a key factor for the economical and … mine waste sampling Sampling to predict acid mine drainage occurs at many stages of mine …","",""
26,"A García-Valero, S Martínez-Martínez, A Faz…","Environmentally sustainable acid mine drainage remediation: Use of natural alkaline material",2020,"Journal of Water …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2214714419316502","https://scholar.google.com/scholar?cites=263322450791359856&as_sdt=2005&sciodt=2007&hl=en",40,"2023-04-24 12:17:05","","","","",,,,,26,8.67,7,4,3,"… The acid mine drainage use in this study was catalogued as highly acid [37] and salty [38]. The … characteristics and metal(loid)s contents in alkaline materials and acid mine drainage. …","","https://scholar.google.com/scholar?q=related:cOXNtF-CpwMJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
13,"A Gałuszka, ZM Migaszewski, A Pelc…","Trace elements and stable sulfur isotopes in plants of acid mine drainage area: Implications for revegetation of degraded land",2020,"… of Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1001074220301224","https://scholar.google.com/scholar?cites=13965103189953421131&as_sdt=2005&sciodt=2007&hl=en",95,"2023-04-24 12:17:05","","","","",,,,,13,4.33,3,4,3,"… in a mining area in south-central Poland. In 2016, 20 samples of the most common species were collected from sites with a different influence of acid mine drainage and analyzed for …","","https://scholar.google.com/scholar?q=related:Sx_ZaFwDzsEJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
4,"A Gupta, P Sar","Treatment options for acid mine drainage: remedial achievements through microbial-mediated processes",2020,"Combined Application of Physico-Chemical & …","Springer","https://link.springer.com/chapter/10.1007/978-981-15-0497-6_8","https://scholar.google.com/scholar?cites=11244141349499602317&as_sdt=2005&sciodt=2007&hl=en",43,"2023-04-24 12:17:05","","10.1007/978-981-15-0497-6_8","","",,,,,4,1.33,2,2,3,"… Influence of inorganic ligand availability and organic carbon … community composition on the treatment of Zn-laden mine … and lethal effects of AMD or acidic mine water on environmental …","","https://scholar.google.com/scholar?q=related:jYU0vfs2C5wJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
42,"A Huang, D Zhi, H Tang, L Jiang, S Luo…","Effect of Fe2+, Mn2+ catalysts on the performance of electro-Fenton degradation of antibiotic ciprofloxacin, and expanding the utilizing of acid mine drainage",2020,"… of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969720310718","https://scholar.google.com/scholar?cites=13901169714360319003&as_sdt=2005&sciodt=2007&hl=en",57,"2023-04-24 12:17:05","","","","",,,,,42,14.00,7,6,3,"… Additionally, based on the idea of using Mn 2+ and Fe 2+ as catalysts in EF system, we also tried to using acid mine drainage (AMD) which was rich in ferromanganese ions to replace …","","https://scholar.google.com/scholar?q=related:G3zdIjTg6sAJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
0,"A Kurniawan, A Kurniawan, R Robin","Interaction of Organisms in Abandoned Tin Mining Pits: Perspective of Life in Acid Mine Drainage Environment",2023,"Jurnal Ilmu Lingkungan","ejournal.undip.ac.id","https://ejournal.undip.ac.id/index.php/ilmulingkungan/article/view/45718","",130,"2023-04-24 12:17:05","HTML","","","",,,,,0,0.00,0,3,1,"… This mini review aimed to elaborate information of micro- and macro-organism’ life in acid mine drainage to be associated with the possibility of life in abandoned tin mining pits. …","https://ejournal.undip.ac.id/index.php/ilmulingkungan/article/view/45718",""
9,"A Minnaar","Water pollution and contamination from gold mines: acid mine drainage in Gauteng Province, South Africa",2020,"Water, governance, and crime issues","Springer","https://link.springer.com/chapter/10.1007/978-3-030-44798-4_12","https://scholar.google.com/scholar?cites=17044700644177990931&as_sdt=2005&sciodt=2007&hl=en",55,"2023-04-24 12:17:05","","10.1007/978-3-030-44798-4_12","","",,,,,9,3.00,9,1,3,"… and environment dangers are not only from the acid mine water, but the environmental pollution … , conservation and health risks, but it also prevented community members from attaining …","","https://scholar.google.com/scholar?q=related:E9UZ3-3wiuwJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
2,"A Shabalala, V Masindi","Insights into mechanisms governing the passive removal of inorganic contaminants from acid mine drainage using permeable reactive barrier",2022,"Journal of Environmental Management","Elsevier","https://www.sciencedirect.com/science/article/pii/S0301479722014396","https://scholar.google.com/scholar?cites=13777541791091482186&as_sdt=2005&sciodt=2007&hl=en",63,"2023-04-24 12:17:05","","","","",,,,,2,2.00,1,2,1,"… contaminants from AMD using PRB and findings from this study will be used to develop effective PRB for the management of acid mine drainage and the receiving environment. …","","https://scholar.google.com/scholar?q=related:Sl4bMEOpM78J:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
1,"A Vishwakarma, SK Shukla, VK Tripathi…","Effects of Acid Mine Drainage on Hydrochemical Properties of Groundwater and Possible Remediation",2021,"Groundwater …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/9781119709732.ch12","https://scholar.google.com/scholar?cites=8892716185694138442&as_sdt=2005&sciodt=2007&hl=en",108,"2023-04-24 12:17:05","","10.1002/9781119709732.ch12","","",,,,,1,0.50,0,4,2,"… Environmentally sustainable acid mine drainage remediation: research developments with a focus on waste/by-products. Minerals Engineering 126: 207–220. https://doi.org/10.1016/j.…","","https://scholar.google.com/scholar?q=related:SnCqWEFGaXsJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
0,"A Zendelska, A Trajanova, M Golomeova…","Comparison of Efficiencies of Neutralizing Agents for Heavy Metal Removal from Acid Mine Drainage",2022,"… and Environment","eprints.ugd.edu.mk","https://eprints.ugd.edu.mk/30254/","",198,"2023-04-24 12:17:05","","","","",,,,,0,0.00,0,4,1,"… acid mine drainage [1]. Pyrite is recognized as a major source of acid mine drainage due to its abundance in the environment [2] but … of the American Society of Mining and Reclamation, …","https://eprints.ugd.edu.mk/30254/1/JME_Volume%2013_Issue%203_Pages%20679-691.pdf","https://scholar.google.com/scholar?q=related:DTCycLrkyxwJ:scholar.google.com/&scioq=effect+of+acid+mine+drainage+on+the+environment+and+society&hl=en&as_sdt=2007&as_ylo=2020&as_yhi=2023"
